player,skill,from_week,to_week,delta
Akis Kotsalos,FT,7,8,1
Akis Kotsalos,OD,8,9,1
Akis Kotsalos,OD,13,14,1
Alexios Thanos,JR,7,8,1
Alexios Thanos,RB,7,8,1
Alexios Thanos,OD,8,9,1
Alexios Thanos,FT,8,9,1
Alexios Thanos,JS,9,10,1
Alexios Thanos,ID,9,10,1
Alexios Thanos,JR,11,12,1
Alexios Thanos,HA,12,13,1
Alexios Thanos,JS,13,14,1
Antonios Sterpis,JS,6,7,1
Antonios Sterpis,IS,6,7,1
Antonios Sterpis,DR,7,8,1
Antonios Sterpis,ST,8,9,-1
Antonios Sterpis,IS,9,10,1
Antonios Sterpis,ST,9,10,1
Aristidis Vlastarakis,JS,6,7,1
Aristidis Vlastarakis,JR,6,7,1
Aristidis Vlastarakis,OD,8,9,1
Aristidis Vlastarakis,JS,10,11,1
Aristidis Vlastarakis,DR,10,11,1
Aristidis Vlastarakis,ST,10,11,-1
Aristidis Vlastarakis,JR,11,12,1
Aristidis Vlastarakis,ID,12,13,1
Gryllakis Antonopoulos,JS,10,11,1
Gryllakis Antonopoulos,RB,10,11,1
Gryllakis Antonopoulos,ID,12,13,1
Kostas Tampakis,JR,6,7,1
Kostas Tampakis,DR,7,8,1
Kostas Tampakis,IS,8,9,1
Kostas Tampakis,SB,9,10,1
Kostas Tampakis,PA,10,11,1
Kostas Tampakis,ID,10,11,1
Kostas Tampakis,JS,11,12,1
Kostas Tampakis,IS,11,12,1
Kostas Tampakis,FT,11,12,1
Lefteris Sfikopoulos,JR,6,7,1
Lefteris Sfikopoulos,OD,9,10,1
Lefteris Sfikopoulos,ID,9,10,1
Lefteris Sfikopoulos,JS,11,12,1
Lefteris Sfikopoulos,RB,12,13,1
Nikos Karaindros,JS,7,8,1
Nikos Karaindros,HA,8,9,1
Nikos Karaindros,OD,9,10,1
Nikos Karaindros,ID,9,10,1
Nikos Karaindros,FT,10,11,1
Nikos Loukoumis,OD,8,9,1
Nikos Loukoumis,HA,9,10,1
Nikos Loukoumis,DR,11,12,1
Nikos Loukoumis,FT,11,12,1
Nikos Loukoumis,OD,12,13,1
Nikos Loukoumis,RB,12,13,1
Panteleimon Amanatis,ID,7,8,1
Panteleimon Amanatis,HA,10,11,1
Panteleimon Amanatis,RB,10,11,1
Panteleimon Amanatis,FT,10,11,1
Panteleimon Amanatis,SB,12,13,1
Renos Grafopoulos,ST,7,8,-1
Renos Grafopoulos,OD,8,9,1
Renos Grafopoulos,OD,11,12,1
Renos Grafopoulos,SB,12,13,1
Stefanis Kotoulas,ID,7,8,1
Stefanis Kotoulas,ID,9,10,1
Stefanis Kotoulas,ID,11,12,1
Stefanis Kotoulas,SB,12,13,1
Stilianos Theodoratos,OD,6,7,1
Stilianos Theodoratos,IS,6,7,1
Stilianos Theodoratos,ID,6,7,1
Stilianos Theodoratos,FT,6,7,1
Stilianos Theodoratos,SB,8,9,1
Stilianos Theodoratos,ID,9,10,1
Stilianos Theodoratos,JS,10,11,1
Stilianos Theodoratos,HA,11,12,1
Stilianos Theodoratos,DR,11,12,1
Stilianos Theodoratos,JR,12,13,1
Stilianos Theodoratos,ID,12,13,1
Tasoulis Gittas,DR,10,11,1
Tasoulis Gittas,OD,11,12,1
Tasoulis Gittas,ID,11,12,1
Tasoulis Gittas,IS,12,13,1
Tasoulis Gittas,OD,13,14,1
Themistoklis Chalkitis,OD,6,7,1
Themistoklis Chalkitis,JS,7,8,1
Themistoklis Chalkitis,OD,9,10,1
Themistoklis Chalkitis,OD,10,11,1
Themistoklis Chalkitis,HA,11,12,1
Themistoklis Chalkitis,DR,12,13,1
Themistoklis Chalkitis,PA,12,13,1
Vardis Alvanos,IS,7,8,1
Vardis Alvanos,PA,9,10,1
Vardis Alvanos,FT,9,10,1
Vardis Alvanos,RB,10,11,1
Vardis Alvanos,IS,12,13,1
Vlasis Tzougkarakis,JR,6,7,1
Vlasis Tzougkarakis,JS,7,8,1
Vlasis Tzougkarakis,ID,9,10,1
Vlasis Tzougkarakis,JS,10,11,1
Vlasis Tzougkarakis,JR,11,12,1
Vlasis Tzougkarakis,HA,11,12,1
Vlasis Tzougkarakis,DR,11,12,1
Vlasis Tzougkarakis,SB,12,13,1
