player,week,position,JS,JR,OD,HA,DR,PA,IS,ID,RB,SB,ST,FT,EXP,GS,TSP10,OSP,ISP
Akis Kotsalos,6,,16,11,15,16,17,7,13,9,6,4,5,7,3,9,114,82,32
Akis Kotsalos,7,,16,11,15,16,17,7,13,9,6,4,5,7,3,9,114,82,32
Akis Kotsalos,8,,16,11,15,16,17,7,13,9,6,4,5,8,3,9,114,82,32
Akis Kotsalos,9,,16,11,16,16,17,7,13,9,6,4,5,8,3,8,115,83,32
Akis Kotsalos,10,SF,16,11,16,16,17,7,13,9,6,4,5,8,4,9,115,83,32
Akis Kotsalos,11,SF,16,11,16,16,17,7,13,9,6,4,5,8,4,8,115,83,32
Akis Kotsalos,12,SF,16,11,16,16,17,7,13,9,6,4,5,8,4,9,115,83,32
Akis Kotsalos,13,SF,16,11,16,16,17,7,13,9,6,4,5,8,4,8,115,83,32
Akis Kotsalos,14,SF,16,11,17,16,17,7,13,9,6,4,5,8,4,9,116,84,32
Alexios Thanos,6,,15,9,13,14,16,10,12,5,6,7,7,11,3,9,107,77,30
Alexios Thanos,7,,15,9,13,14,16,10,12,5,6,7,7,11,3,9,107,77,30
Alexios Thanos,8,,15,10,13,14,16,10,12,5,7,7,7,11,3,9,109,78,31
Alexios Thanos,9,,15,10,14,14,16,10,12,5,7,7,7,12,3,8,110,79,31
Alexios Thanos,10,PG,16,10,14,14,16,10,12,6,7,7,7,12,3,9,112,80,32
Alexios Thanos,11,PG,16,10,14,14,16,10,12,6,7,7,7,12,3,9,112,80,32
Alexios Thanos,12,PG,16,11,14,14,16,10,12,6,7,7,7,12,3,9,113,81,32
Alexios Thanos,13,PG,16,11,14,15,16,10,12,6,7,7,7,12,3,8,114,82,32
Alexios Thanos,14,PG,17,11,14,15,16,10,12,6,7,7,7,12,3,9,115,83,32
Antonios Sterpis,6,,9,4,4,8,8,9,16,16,13,13,3,15,4,9,100,42,58
Antonios Sterpis,7,,10,4,4,8,8,9,17,16,13,13,3,15,4,9,102,43,59
Antonios Sterpis,8,,10,4,4,8,9,9,17,16,13,13,3,15,4,8,103,44,59
Antonios Sterpis,9,,10,4,4,8,9,9,17,16,13,13,2,15,4,9,103,44,59
Antonios Sterpis,10,C,10,4,4,8,9,9,18,16,13,13,3,15,4,9,104,44,60
Antonios Sterpis,11,C,10,4,4,8,9,9,18,16,13,13,3,15,4,8,104,44,60
Antonios Sterpis,12,C,10,4,4,8,9,9,18,16,13,13,3,15,4,9,104,44,60
Antonios Sterpis,13,C,10,4,4,8,9,9,18,16,13,13,3,15,4,9,104,44,60
Antonios Sterpis,14,C,10,4,4,8,9,9,18,16,13,13,3,15,4,9,104,44,60
Aristidis Vlastarakis,6,,15,9,16,16,16,10,13,8,9,2,7,9,4,8,114,82,32
Aristidis Vlastarakis,7,,16,10,16,16,16,10,13,8,9,2,7,9,4,8,116,84,32
Aristidis Vlastarakis,8,,16,10,16,16,16,10,13,8,9,2,7,9,4,8,116,84,32
Aristidis Vlastarakis,9,,16,10,17,16,16,10,13,8,9,2,7,9,4,9,117,85,32
Aristidis Vlastarakis,10,SF,16,10,17,16,16,10,13,8,9,2,7,9,4,9,117,85,32
Aristidis Vlastarakis,11,SF,17,10,17,16,17,10,13,8,9,2,6,9,4,8,119,87,32
Aristidis Vlastarakis,12,SF,17,11,17,16,17,10,13,8,9,2,6,9,4,9,120,88,32
Aristidis Vlastarakis,13,SF,17,11,17,16,17,10,13,9,9,2,6,9,4,9,121,88,33
Aristidis Vlastarakis,14,SF,17,11,17,16,17,10,13,9,9,2,6,9,4,9,121,88,33
Gryllakis Antonopoulos,6,,5,2,7,5,2,8,9,16,14,21,5,11,3,9,89,29,60
Gryllakis Antonopoulos,7,,5,2,7,5,2,8,9,16,14,21,5,11,3,9,89,29,60
Gryllakis Antonopoulos,8,,5,2,7,5,2,8,9,16,14,21,5,11,3,8,89,29,60
Gryllakis Antonopoulos,9,,5,2,7,5,2,8,9,16,14,21,5,11,3,9,89,29,60
Gryllakis Antonopoulos,10,C,5,2,7,5,2,8,9,16,14,21,5,11,3,8,89,29,60
Gryllakis Antonopoulos,11,C,6,2,7,5,2,8,9,16,15,21,5,11,3,9,91,30,61
Gryllakis Antonopoulos,12,C,6,2,7,5,2,8,9,16,15,21,5,11,3,8,91,30,61
Gryllakis Antonopoulos,13,C,6,2,7,5,2,8,9,17,15,21,5,11,4,9,92,30,62
Gryllakis Antonopoulos,14,C,6,2,7,5,2,8,9,17,15,21,5,11,4,8,92,30,62
Kostas Tampakis,6,,8,7,4,8,8,7,16,15,12,9,5,10,3,8,94,42,52
Kostas Tampakis,7,,8,8,4,8,8,7,16,15,12,9,5,10,3,9,95,43,52
Kostas Tampakis,8,,8,8,4,8,9,7,16,15,12,9,5,10,3,9,96,44,52
Kostas Tampakis,9,,8,8,4,8,9,7,17,15,12,9,5,10,3,9,97,44,53
Kostas Tampakis,10,C,8,8,4,8,9,7,17,15,12,10,5,10,3,9,98,44,54
Kostas Tampakis,11,C,8,8,4,8,9,8,17,16,12,10,5,10,3,8,100,45,55
Kostas Tampakis,12,C,9,8,4,8,9,8,18,16,12,10,5,11,3,9,102,46,56
Kostas Tampakis,13,C,9,8,4,8,9,8,18,16,12,10,5,11,3,8,102,46,56
Kostas Tampakis,14,C,9,8,4,8,9,8,18,16,12,10,5,11,3,9,102,46,56
Lefteris Sfikopoulos,6,,15,11,15,13,16,8,8,5,6,9,6,9,4,9,106,78,28
Lefteris Sfikopoulos,7,,15,12,15,13,16,8,8,5,6,9,6,9,4,8,107,79,28
Lefteris Sfikopoulos,8,,15,12,15,13,16,8,8,5,6,9,6,9,4,8,107,79,28
Lefteris Sfikopoulos,9,,15,12,15,13,16,8,8,5,6,9,6,9,4,8,107,79,28
Lefteris Sfikopoulos,10,SG,15,12,16,13,16,8,8,6,6,9,6,9,4,9,109,80,29
Lefteris Sfikopoulos,11,SG,15,12,16,13,16,8,8,6,6,9,6,9,4,7,109,80,29
Lefteris Sfikopoulos,12,SG,16,12,16,13,16,8,8,6,6,9,6,9,4,7,110,81,29
Lefteris Sfikopoulos,13,SG,16,12,16,13,16,8,8,6,7,9,6,9,4,9,111,81,30
Lefteris Sfikopoulos,14,SG,16,12,16,13,16,8,8,6,7,9,6,9,4,9,111,81,30
Nikos Karaindros,6,,14,10,14,12,16,8,12,9,6,7,3,5,4,8,108,74,34
Nikos Karaindros,7,,14,10,14,12,16,8,12,9,6,7,3,5,4,8,108,74,34
Nikos Karaindros,8,,15,10,14,12,16,8,12,9,6,7,3,5,4,9,109,75,34
Nikos Karaindros,9,,15,10,14,13,16,8,12,9,6,7,3,5,4,8,110,76,34
Nikos Karaindros,10,SF,15,10,15,13,16,8,12,10,6,7,3,5,4,9,112,77,35
Nikos Karaindros,11,SF,15,10,15,13,16,8,12,10,6,7,3,6,5,9,112,77,35
Nikos Karaindros,12,SF,15,10,15,13,16,8,12,10,6,7,3,6,5,9,112,77,35
Nikos Karaindros,13,SF,15,10,15,13,16,8,12,10,6,7,3,6,5,9,112,77,35
Nikos Karaindros,14,SF,15,10,15,13,16,8,12,10,6,7,3,6,5,9,112,77,35
Nikos Loukoumis,6,,15,9,15,15,15,8,11,9,4,5,5,7,3,8,106,77,29
Nikos Loukoumis,7,,15,9,15,15,15,8,11,9,4,5,5,7,3,8,106,77,29
Nikos Loukoumis,8,,15,9,15,15,15,8,11,9,4,5,5,7,3,7,106,77,29
Nikos Loukoumis,9,,15,9,16,15,15,8,11,9,4,5,5,7,3,7,107,78,29
Nikos Loukoumis,10,PG,15,9,16,16,15,8,11,9,4,5,5,7,3,8,108,79,29
Nikos Loukoumis,11,SF,15,9,16,16,15,8,11,9,4,5,5,7,3,8,108,79,29
Nikos Loukoumis,12,SF,15,9,16,16,16,8,11,9,4,5,5,8,3,8,109,80,29
Nikos Loukoumis,13,SF,15,9,17,16,16,8,11,9,5,5,5,8,3,8,111,81,30
Nikos Loukoumis,14,SF,15,9,17,16,16,8,11,9,5,5,5,8,3,9,111,81,30
Panteleimon Amanatis,6,,4,3,5,5,2,6,7,15,14,20,4,10,3,7,81,25,56
Panteleimon Amanatis,7,,4,3,5,5,2,6,7,15,14,20,4,10,3,9,81,25,56
Panteleimon Amanatis,8,,4,3,5,5,2,6,7,16,14,20,4,10,3,9,82,25,57
Panteleimon Amanatis,9,,4,3,5,5,2,6,7,16,14,20,4,10,3,9,82,25,57
Panteleimon Amanatis,10,C,4,3,5,5,2,6,7,16,14,20,4,10,3,9,82,25,57
Panteleimon Amanatis,11,C,4,3,5,6,2,6,7,16,15,20,4,11,3,7,84,26,58
Panteleimon Amanatis,12,C,4,3,5,6,2,6,7,16,15,20,4,11,3,8,84,26,58
Panteleimon Amanatis,13,C,4,3,5,6,2,6,7,16,15,21,4,11,3,8,85,26,59
Panteleimon Amanatis,14,C,4,3,5,6,2,6,7,16,15,21,4,11,3,8,85,26,59
Renos Grafopoulos,6,,14,8,14,16,17,7,3,5,7,4,5,12,4,9,95,76,19
Renos Grafopoulos,7,,14,8,14,16,17,7,3,5,7,4,5,12,4,8,95,76,19
Renos Grafopoulos,8,,14,8,14,16,17,7,3,5,7,4,4,12,4,9,95,76,19
Renos Grafopoulos,9,,14,8,15,16,17,7,3,5,7,4,4,12,4,8,96,77,19
Renos Grafopoulos,10,PG,14,8,15,16,17,7,3,5,7,4,4,12,4,8,96,77,19
Renos Grafopoulos,11,PG,14,8,15,16,17,7,3,5,7,4,4,12,4,8,96,77,19
Renos Grafopoulos,12,PG,14,8,16,16,17,7,3,5,7,4,4,12,4,9,97,78,19
Renos Grafopoulos,13,PG,14,8,16,16,17,7,3,5,7,5,4,12,4,9,98,78,20
Renos Grafopoulos,14,PG,14,8,16,16,17,7,3,5,7,5,4,12,4,9,98,78,20
Stefanis Kotoulas,6,,15,5,7,16,17,5,17,10,5,5,5,5,3,8,102,65,37
Stefanis Kotoulas,7,,15,5,7,16,17,5,17,10,5,5,5,5,3,6,102,65,37
Stefanis Kotoulas,8,,15,5,7,16,17,5,17,11,5,5,5,5,4,7,103,65,38
Stefanis Kotoulas,9,,15,5,7,16,17,5,17,11,5,5,5,5,4,6,103,65,38
Stefanis Kotoulas,10,PF,15,5,7,16,17,5,17,12,5,5,5,5,4,7,104,65,39
Stefanis Kotoulas,11,PF,15,5,7,16,17,5,17,12,5,5,5,5,4,7,104,65,39
Stefanis Kotoulas,12,PF,15,5,7,16,17,5,17,13,5,5,5,5,4,7,105,65,40
Stefanis Kotoulas,13,PF,15,5,7,16,17,5,17,13,5,6,5,5,4,6,106,65,41
Stefanis Kotoulas,14,PF,15,5,7,16,17,5,17,13,5,6,5,5,4,6,106,65,41
Stilianos Theodoratos,6,,12,5,6,15,16,8,17,13,8,7,5,11,4,9,107,62,45
Stilianos Theodoratos,7,,12,5,7,15,16,8,18,14,8,7,5,12,4,9,110,63,47
Stilianos Theodoratos,8,,12,5,7,15,16,8,18,14,8,7,5,12,4,9,110,63,47
Stilianos Theodoratos,9,,12,5,7,15,16,8,18,14,8,8,5,12,4,8,111,63,48
Stilianos Theodoratos,10,PF,12,5,7,15,16,8,18,15,8,8,5,12,4,9,112,63,49
Stilianos Theodoratos,11,PF,13,5,7,15,16,8,18,15,8,8,5,12,4,7,113,64,49
Stilianos Theodoratos,12,PF,13,5,7,16,17,8,18,15,8,8,5,12,4,7,115,66,49
Stilianos Theodoratos,13,PF,13,6,7,16,17,8,18,16,8,8,5,12,4,7,117,67,50
Stilianos Theodoratos,14,PF,13,6,7,16,17,8,18,16,8,8,5,12,4,7,117,67,50
Tasoulis Gittas,10,PG,14,9,12,18,18,8,15,8,5,4,5,7,3,7,111,79,32
Tasoulis Gittas,11,PG,14,9,12,18,19,8,15,8,5,4,5,7,4,7,112,80,32
Tasoulis Gittas,12,PG,14,9,13,18,19,8,15,9,5,4,5,7,4,9,114,81,33
Tasoulis Gittas,13,PG,14,9,13,18,19,8,16,9,5,4,5,7,4,9,115,81,34
Tasoulis Gittas,14,PG,14,9,14,18,19,8,16,9,5,4,5,7,4,9,116,82,34
Themistoklis Chalkitis,6,,10,8,5,10,10,6,8,16,11,18,3,10,4,8,102,49,53
Themistoklis Chalkitis,7,,10,8,6,10,10,6,8,16,11,18,3,10,4,8,103,50,53
Themistoklis Chalkitis,8,,11,8,6,10,10,6,8,16,11,18,3,10,4,8,104,51,53
Themistoklis Chalkitis,9,,11,8,6,10,10,6,8,16,11,18,3,10,4,9,104,51,53
Themistoklis Chalkitis,10,PF,11,8,7,10,10,6,8,16,11,18,3,10,4,9,105,52,53
Themistoklis Chalkitis,11,PF,11,8,8,10,10,6,8,16,11,18,3,10,4,9,106,53,53
Themistoklis Chalkitis,12,PF,11,8,8,11,10,6,8,16,11,18,3,10,4,9,107,54,53
Themistoklis Chalkitis,13,PF,11,8,8,11,11,7,8,16,11,18,3,10,4,9,109,56,53
Themistoklis Chalkitis,14,PF,11,8,8,11,11,7,8,16,11,18,3,10,4,9,109,56,53
Vardis Alvanos,6,,9,6,7,10,9,5,17,17,13,14,5,9,3,9,107,46,61
Vardis Alvanos,7,,9,6,7,10,9,5,17,17,13,14,5,9,3,9,107,46,61
Vardis Alvanos,8,,9,6,7,10,9,5,18,17,13,14,5,9,4,8,108,46,62
Vardis Alvanos,9,,9,6,7,10,9,5,18,17,13,14,5,9,4,9,108,46,62
Vardis Alvanos,10,C,9,6,7,10,9,6,18,17,13,14,5,10,4,9,109,47,62
Vardis Alvanos,11,C,9,6,7,10,9,6,18,17,14,14,5,10,4,9,110,47,63
Vardis Alvanos,12,C,9,6,7,10,9,6,18,17,14,14,5,10,4,9,110,47,63
Vardis Alvanos,13,C,9,6,7,10,9,6,19,17,14,14,5,10,4,8,111,47,64
Vardis Alvanos,14,C,9,6,7,10,9,6,19,17,14,14,5,10,4,9,111,47,64
Vlasis Tzougkarakis,6,,15,10,15,14,16,10,11,8,4,4,3,14,4,9,107,80,27
Vlasis Tzougkarakis,7,,15,11,15,14,16,10,11,8,4,4,3,14,4,9,108,81,27
Vlasis Tzougkarakis,8,,16,11,15,14,16,10,11,8,4,4,3,14,4,8,109,82,27
Vlasis Tzougkarakis,9,,16,11,15,14,16,10,11,8,4,4,3,14,4,9,109,82,27
Vlasis Tzougkarakis,10,SG,16,11,15,14,16,10,11,9,4,4,3,14,4,9,110,82,28
