message_id,timestamp_iso,author_name,author_nickname,week_no,raw_text,attachment_files,attachment_count
1286643482357796956,2024-09-20T13:01:50.874+02:00,pjtr576,pjtr576 [Postojna Blue Jackets],,"Bom napisu tle če sm že pobudnik ala 😄 glede na tu da rjdnu jamramo da bi lhku še bl koordiniranu trenirali in smo se usi3 odločli za trening takšnih in drgačnih centru, je pala ideja da zavoljo izmenjave mnenj, spremljanja treninga in morda tudi olajšanja dela selektorji (?), če se bo sevede prdružu, nrdimo ločen kanau.",,0
1286643594526064740,2024-09-20T13:02:17.617+02:00,markokrizman.,markokrizman.,,"Res je, in podpiram to idejo",,0
1286643668526170185,2024-09-20T13:02:35.26+02:00,markokrizman.,markokrizman.,,Edini problem je da se selektorji menjajo,,0
1286643703494217813,2024-09-20T13:02:43.597+02:00,pjtr576,pjtr576 [Postojna Blue Jackets],,"nej magari ta nitka služi za diskusijo, u nitko #report-treninga pa limamo samu slike trenirancu usak tedn, pa nvem, opis treninga, če so ble poune minute, kaku osebje je, itd.
edit: če se strinjste sevede, use so samu predlogi 🙂",,0
1286643734414495816,2024-09-20T13:02:50.969+02:00,markokrizman.,markokrizman.,,Pol pa vsak hoče nekaj drugega,,0
1286643846343688265,2024-09-20T13:03:17.655+02:00,pjtr576,pjtr576 [Postojna Blue Jackets],,"ja tu je res, ampak našmi recimo da se zazdej nikamr ne mudi, tku da upam da bo bdeu nad to generacijo 19 in predusm 18letniku",,0
1286644295352455220,2024-09-20T13:05:04.707+02:00,markokrizman.,markokrizman.,,"Ja jaz bi svoje centre fural 1 na 1, dokler HA ne pride 2-3 stopnje nad OD, pol pa OD ubil",,0
1286644433085009951,2024-09-20T13:05:37.545+02:00,pjtr576,pjtr576 [Postojna Blue Jackets],,"Tako torej, jaz 2 treniranca imam, po potrebi (in konsenzu) dodam še enega, bi pa zaradi financ raje treniral defenzivce (tudi tako sta bila izbrani tarči na tržišču).",,0
1286644440634753106,2024-09-20T13:05:39.345+02:00,markokrizman.,markokrizman.,,"V prvih dveh sezonah bi rad OD dvignil čimbolj, tudi do 16-17 če rata",,0
1286644474486853726,2024-09-20T13:05:47.416+02:00,pjtr576,pjtr576 [Postojna Blue Jackets],,"Aja, torej ti bolj računaš na člansko reprezentanco?",,0
1286644510989881365,2024-09-20T13:05:56.119+02:00,markokrizman.,markokrizman.,,Samo na člansko,,0
1286644576739659841,2024-09-20T13:06:11.795+02:00,pjtr576,pjtr576 [Postojna Blue Jackets],,"Ampak nič narobe, saj v končni fazi sta centra, še vedno sta tudi za U-21 potencialno zanimiva, v drugačni in obrobnejši vlogi sicer.",,0
1286644581475156018,2024-09-20T13:06:12.924+02:00,markokrizman.,markokrizman.,,Tu je samo za u21?,,0
1286644701901885513,2024-09-20T13:06:41.636+02:00,pjtr576,pjtr576 [Postojna Blue Jackets],,"Ma kaj pa vem, jaz sem samo o sebi mislil haha, ampak ni prav nič narobe, če več ljudi spremlja trening sovrstnikov.",,0
1286644716149932085,2024-09-20T13:06:45.033+02:00,pjtr576,pjtr576 [Postojna Blue Jackets],,Moje mnenje 🙂,,0
1286644716250726442,2024-09-20T13:06:45.057+02:00,markokrizman.,markokrizman.,,Ma HOF potencial je škoda za u21 trening plan,,0
1286644816435871814,2024-09-20T13:07:08.943+02:00,pjtr576,pjtr576 [Postojna Blue Jackets],,"Se čisto strinjam ja 🙂 Sem očitno privzel v glavi, da boš za U-21 treniral 😄",,0
1286645111035527262,2024-09-20T13:08:19.181+02:00,markokrizman.,markokrizman.,,No bom pol bolj spremljal,,0
1286645519661137970,2024-09-20T13:09:56.605+02:00,pjtr576,pjtr576 [Postojna Blue Jackets],,"Počakamo še keterin feedback in selektorjev, že zdaj sva nekaj pametnega si povedala, in to je da ti niso mišljeni za U-21.",,0
