player,skill,from,to,date,training,author,source_image,source
Manuel Abas,js,2,3,2024-12-06,One on One for PG / SG,delonche,Screenshot_20250612_184016_Chrome-ca49be037b6d4cc1.jpg,history
Valjhun Umek,dr,8,9,2024-12-06,One on One for PG / SG,delonche,Screenshot_20250612_184016_Chrome-ca49be037b6d4cc1.jpg,history
Valjhun Umek,ha,7,8,2024-12-06,One on One for PG / SG,delonche,Screenshot_20250612_184016_Chrome-ca49be037b6d4cc1.jpg,history
Valjhun Umek,js,5,6,2024-12-06,One on One for PG / SG,delonche,Screenshot_20250612_184016_Chrome-ca49be037b6d4cc1.jpg,history
Stane Brodnik,dr,5,6,2024-12-13,One on One for PG / SG,delonche,Screenshot_20250612_184016_Chrome-ca49be037b6d4cc1.jpg,history
Stane Brodnik,js,4,5,2024-12-13,One on One for PG / SG,delonche,Screenshot_20250612_184016_Chrome-ca49be037b6d4cc1.jpg,history
Nien Hông,experience,2,3,2024-12-20,One on One for PG / SG,delonche,Screenshot_20250612_184016_Chrome-ca49be037b6d4cc1.jpg,history
Stane Brodnik,ha,7,8,2024-12-20,One on One for PG / SG,delonche,Screenshot_20250612_184016_Chrome-ca49be037b6d4cc1.jpg,history
Juraj Orolík,ha,4,5,2024-12-27,One on One for PG / SG,delonche,Screenshot_20250612_184016_Chrome-ca49be037b6d4cc1.jpg,history
Juraj Orolík,js,5,6,2024-12-27,One on One for PG / SG,delonche,Screenshot_20250612_184016_Chrome-ca49be037b6d4cc1.jpg,history
Stane Brodnik,dr,6,7,2024-12-27,One on One for PG / SG,delonche,Screenshot_20250612_184016_Chrome-ca49be037b6d4cc1.jpg,history
Tadej Vindiš,dr,5,6,2024-12-27,One on One for PG / SG,delonche,Screenshot_20250612_184016_Chrome-ca49be037b6d4cc1.jpg,history
Valjhun Umek,js,6,7,2024-12-27,One on One for PG / SG,delonche,Screenshot_20250612_184016_Chrome-ca49be037b6d4cc1.jpg,history
Gabriel Baía,id,3,4,2025-01-03,One on One for PG / SG,delonche,Screenshot_20250612_184016_Chrome-ca49be037b6d4cc1.jpg,history
Gabriel Baía,js,7,8,2025-01-03,One on One for PG / SG,delonche,Screenshot_20250612_184016_Chrome-ca49be037b6d4cc1.jpg,history
Juraj Orolík,dr,5,6,2025-01-03,One on One for PG / SG,delonche,Screenshot_20250612_184016_Chrome-ca49be037b6d4cc1.jpg,history
Stane Brodnik,js,5,6,2025-01-03,One on One for PG / SG,delonche,Screenshot_20250612_184016_Chrome-ca49be037b6d4cc1.jpg,history
Tadej Vindiš,ha,7,8,2025-01-03,One on One for PG / SG,delonche,Screenshot_20250612_184016_Chrome-ca49be037b6d4cc1.jpg,history
Valjhun Umek,dr,9,10,2025-01-03,One on One for PG / SG,delonche,Screenshot_20250612_184016_Chrome-ca49be037b6d4cc1.jpg,history
Valjhun Umek,ha,8,9,2025-01-03,One on One for PG / SG,delonche,Screenshot_20250612_184016_Chrome-ca49be037b6d4cc1.jpg,history
Fuad Khayyat,rb,1,2,2025-01-10,Game Shape for Team Training,delonche,Screenshot_20250612_184016_Chrome-ca49be037b6d4cc1.jpg,history
Manuel Abas,pa,5,6,2025-01-10,Game Shape for Team Training,delonche,Screenshot_20250612_184016_Chrome-ca49be037b6d4cc1.jpg,history
Valjhun Umek,jr,4,5,2025-01-10,Game Shape for Team Training,delonche,Screenshot_20250612_184016_Chrome-ca49be037b6d4cc1.jpg,history
Stane Brodnik,experience,4,5,2025-01-17,Inside Defense for C,delonche,Screenshot_20250612_184016_Chrome-ca49be037b6d4cc1.jpg,history
Valjhun Umek,id,14,15,2025-01-17,Inside Defense for C,delonche,Screenshot_20250612_184016_Chrome-ca49be037b6d4cc1.jpg,history
Stane Brodnik,id,17,18,2025-01-24,Inside Defense for C,delonche,Screenshot_20250612_184016_Chrome-ca49be037b6d4cc1.jpg,history
Valjhun Umek,experience,2,3,2025-01-24,Inside Defense for C,delonche,Screenshot_20250612_184016_Chrome-ca49be037b6d4cc1.jpg,history
Gabriel Baía,experience,1,2,2025-01-31,Inside Defense for C,delonche,Screenshot_20250612_184016_Chrome-ca49be037b6d4cc1.jpg,history
Valjhun Umek,id,15,16,2025-01-31,Inside Defense for C,delonche,Screenshot_20250612_184016_Chrome-ca49be037b6d4cc1.jpg,history
Stane Brodnik,id,18,19,2025-02-14,Rebounding for C / PF,delonche,Screenshot_20250612_184016_Chrome-ca49be037b6d4cc1.jpg,history
