player,player_id,author,skill,from_level,to_level,delta,week_from,week_to,date_from,date_to,weeks_in_interval,training_keys,training_names,clean_interval,from_baseline_week0,source
Benjamin Piršič,53897845,pjtr576,id,8,9,1,1,2,2024-09-20,2024-09-27,1,29,Shot Blocking,True,False,series
Benjamin Piršič,53897845,pjtr576,rb,9,10,1,1,2,2024-09-20,2024-09-27,1,29,Shot Blocking,True,False,series
Benjamin Piršič,53897845,pjtr576,sb,6,7,1,1,2,2024-09-20,2024-09-27,1,29,Shot Blocking,True,False,series
Benjamin Piršič,53897845,pjtr576,sb,7,8,1,2,3,2024-09-27,2024-10-04,1,29,Shot Blocking,True,False,series
Benjamin Piršič,53897845,pjtr576,ha,9,10,1,3,4,2024-10-04,2024-10-11,1,29,Shot Blocking,True,False,series
Benjamin Piršič,53897845,pjtr576,sb,8,9,1,3,4,2024-10-04,2024-10-11,1,29,Shot Blocking,True,False,series
Benjamin Piršič,53897845,pjtr576,id,9,10,1,5,6,2024-10-18,2024-10-25,1,29,Shot Blocking,True,False,series
Benjamin Piršič,53897845,pjtr576,sb,9,10,1,5,6,2024-10-18,2024-10-25,1,29,Shot Blocking,True,False,series
Benjamin Piršič,53897845,pjtr576,sb,10,11,1,6,7,2024-10-25,2024-11-01,1,29,Shot Blocking,True,False,series
Benjamin Piršič,53897845,pjtr576,is,3,4,1,7,8,2024-11-01,2024-11-08,1,27,Rebounding,True,False,series
Benjamin Piršič,53897845,pjtr576,rb,10,11,1,7,8,2024-11-01,2024-11-08,1,27,Rebounding,True,False,series
Benjamin Piršič,53897845,pjtr576,rb,11,12,1,9,10,2024-11-15,2024-11-22,1,29,Shot Blocking,True,False,series
Benjamin Piršič,53897845,pjtr576,id,10,11,1,10,11,2024-11-22,2024-11-29,1,29,Shot Blocking,True,False,series
Benjamin Piršič,53897845,pjtr576,sb,11,12,1,10,11,2024-11-22,2024-11-29,1,29,Shot Blocking,True,False,series
Benjamin Piršič,53897845,pjtr576,jr,7,8,1,12,13,2024-12-06,2024-12-13,1,27,Rebounding,True,False,series
Benjamin Piršič,53897845,pjtr576,sb,12,13,1,12,13,2024-12-06,2024-12-13,1,27,Rebounding,True,False,series
Benjamin Piršič,53897845,pjtr576,rb,12,13,1,13,14,2024-12-13,2024-12-21,1,27,Rebounding,True,False,series
Benjamin Piršič,53897845,pjtr576,rb,13,14,1,16,17,2025-01-03,2025-01-10,1,29,Shot Blocking,True,False,series
Benjamin Piršič,53897845,pjtr576,sb,13,14,1,16,17,2025-01-03,2025-01-10,1,29,Shot Blocking,True,False,series
Benjamin Piršič,53897845,pjtr576,ft,6,7,1,17,18,2025-01-10,2025-01-17,1,29,Shot Blocking,True,False,series
Benjamin Piršič,53897845,pjtr576,id,11,12,1,17,18,2025-01-10,2025-01-17,1,29,Shot Blocking,True,False,series
Benjamin Piršič,53897845,pjtr576,sb,14,15,1,19,20,2025-01-26,2025-01-31,1,29,Shot Blocking,True,False,series
Benjamin Piršič,53897845,pjtr576,id,12,13,1,21,22,2025-02-07,2025-02-14,1,27,Rebounding,True,False,series
Benjamin Piršič,53897845,pjtr576,rb,14,15,1,22,23,2025-02-14,2025-02-22,1,29,Shot Blocking,True,False,series
Benjamin Piršič,53897845,pjtr576,sb,15,16,1,22,23,2025-02-14,2025-02-22,1,29,Shot Blocking,True,False,series
Benjamin Piršič,53897845,pjtr576,id,13,14,1,25,26,2025-03-07,2025-03-14,1,24,Inside Defense,True,False,series
Benjamin Piršič,53897845,pjtr576,od,7,8,1,25,26,2025-03-07,2025-03-14,1,24,Inside Defense,True,False,series
Benjamin Piršič,53897845,pjtr576,id,14,15,1,26,27,2025-03-14,2025-03-21,1,24,Inside Defense,True,False,series
Benjamin Piršič,53897845,pjtr576,is,4,5,1,26,27,2025-03-14,2025-03-21,1,24,Inside Defense,True,False,series
Benjamin Piršič,53897845,pjtr576,sb,16,17,1,26,27,2025-03-14,2025-03-21,1,24,Inside Defense,True,False,series
Benjamin Piršič,53897845,pjtr576,rb,15,16,1,28,29,2025-03-28,2025-04-04,1,27,Rebounding,True,False,series
Benjamin Piršič,53897845,pjtr576,id,15,16,1,30,31,2025-04-11,2025-04-18,1,24,Inside Defense,True,False,series
Benjamin Piršič,53897845,pjtr576,dr,9,10,1,31,32,2025-04-18,2025-04-25,1,18,Passing,True,False,series
Benjamin Piršič,53897845,pjtr576,pa,5,6,1,31,32,2025-04-18,2025-04-25,1,18,Passing,True,False,series
Benjamin Piršič,53897845,pjtr576,pa,6,7,1,32,33,2025-04-25,2025-05-04,1,18,Passing,True,False,series
Benjamin Piršič,53897845,pjtr576,pa,7,8,1,33,34,2025-05-04,2025-05-09,1,18,Passing,True,False,series
Benjamin Piršič,53897845,pjtr576,ha,10,11,1,34,35,2025-05-09,2025-05-16,1,18,Passing,True,False,series
Benjamin Piršič,53897845,pjtr576,is,5,6,1,34,35,2025-05-09,2025-05-16,1,18,Passing,True,False,series
Benjamin Piršič,53897845,pjtr576,id,16,17,1,38,39,2025-06-06,2025-06-13,1,24,Inside Defense,True,False,series
Benjamin Piršič,53897845,pjtr576,js,9,10,1,40,41,2025-06-20,2025-06-27,1,24,Inside Defense,True,False,series
Francis Koštomaj,53897393,alenokc,is,5,6,1,0,1,2024-09-27,2024-09-29,1,16,One on One,False,True,series
Francis Koštomaj,53897393,alenokc,js,1,2,1,0,1,2024-09-27,2024-09-29,1,16,One on One,False,True,series
Francis Koštomaj,53897393,alenokc,dr,3,4,1,1,2,2024-09-29,2024-10-06,1,16,One on One,True,False,series
Francis Koštomaj,53897393,alenokc,ha,4,5,1,1,2,2024-09-29,2024-10-06,1,16,One on One,True,False,series
Francis Koštomaj,53897393,alenokc,dr,4,5,1,2,3,2024-10-06,2024-10-12,1,16,One on One,True,False,series
Francis Koštomaj,53897393,alenokc,ft,2,3,1,2,3,2024-10-06,2024-10-12,1,16,One on One,True,False,series
Francis Koštomaj,53897393,alenokc,ha,5,6,1,3,4,2024-10-12,2024-10-19,1,16,One on One,True,False,series
Francis Koštomaj,53897393,alenokc,js,2,3,1,3,4,2024-10-12,2024-10-19,1,16,One on One,True,False,series
Francis Koštomaj,53897393,alenokc,dr,5,6,1,4,5,2024-10-19,2024-10-29,1,16,One on One,True,False,series
Francis Koštomaj,53897393,alenokc,is,6,7,1,5,6,2024-10-29,2024-11-08,1,16,One on One,True,False,series
Francis Koštomaj,53897393,alenokc,ft,3,4,1,6,10,2024-11-08,2024-11-29,4,;;;27,;;;Rebounding,False,False,series
Francis Koštomaj,53897393,alenokc,ha,6,7,1,6,10,2024-11-08,2024-11-29,4,;;;27,;;;Rebounding,False,False,series
Francis Koštomaj,53897393,alenokc,rb,4,6,2,6,10,2024-11-08,2024-11-29,4,;;;27,;;;Rebounding,False,False,series
Francis Koštomaj,53897393,alenokc,pa,2,3,1,10,11,2024-11-29,2024-12-07,1,29,Shot Blocking,True,False,series
Francis Koštomaj,53897393,alenokc,sb,7,8,1,10,11,2024-11-29,2024-12-07,1,29,Shot Blocking,True,False,series
Francis Koštomaj,53897393,alenokc,id,7,8,1,11,12,2024-12-07,2024-12-15,1,29,Shot Blocking,True,False,series
