message_id,timestamp_iso,author_name,author_nickname,week_no,raw_text,attachment_files,attachment_count
1286640850662854667,2024-09-20T12:51:23.429+02:00,pjtr576,pjtr576 [Postojna Blue Jackets],,,image-98f30d11f4483550.png,1
1286640861245079562,2024-09-20T12:51:25.952+02:00,pjtr576,pjtr576 [Postojna Blue Jackets],,,image-3134d5c58ae083cc.png,1
1286640914588110911,2024-09-20T12:51:38.67+02:00,pjtr576,pjtr576 [Postojna Blue Jackets],,Kupljena za 70k (Piršič) in 330k (Plesavec).,,0
1286641102488600586,2024-09-20T12:52:23.469+02:00,pjtr576,pjtr576 [Postojna Blue Jackets],1,"1. trening: 1 na 1 za K/KC, oba 48 min, trener: 5. stopnja, mladinski trener: /, fitnes: 3. stopnja, trening igrišče: /.",,0
1286641429770403863,2024-09-20T12:53:41.499+02:00,pjtr576,pjtr576 [Postojna Blue Jackets],,,image-73330e527c2269b7.png,1
1286641845358690377,2024-09-20T12:55:20.583+02:00,pjtr576,pjtr576 [Postojna Blue Jackets],,,image-944911cdc46ff5d3.png,1
1286643013950373888,2024-09-20T12:59:59.197+02:00,markokrizman.,markokrizman.,,,,0
1286643096133828658,2024-09-20T13:00:18.791+02:00,markokrizman.,markokrizman.,,Pa.jao no,,0
1286643113984524309,2024-09-20T13:00:23.047+02:00,markokrizman.,markokrizman.,,A to je wave,,0
1286643179738763274,2024-09-20T13:00:38.724+02:00,pjtr576,pjtr576 [Postojna Blue Jackets],,Haha 😄,,0
1286643935548280902,2024-09-20T13:03:38.923+02:00,markokrizman.,markokrizman.,,Evo moja dva mulca,,0
1286644023510962208,2024-09-20T13:03:59.895+02:00,markokrizman.,markokrizman.,,,Screenshot_20240920_130146_Chrome-b75369096e24b1a8.jpg,1
1286644036622614540,2024-09-20T13:04:03.021+02:00,markokrizman.,markokrizman.,,,Screenshot_20240920_130103_Chrome-7059d3645abfb23a.jpg,1
1286687195108999264,2024-09-20T15:55:32.806+02:00,pjtr576,pjtr576 [Postojna Blue Jackets],,,image-614e9e020cd070e0.png,1
1289153480048775249,2024-09-27T11:15:40.957+02:00,alenokc,AlenOKC,,"Pred prvim treningom. Koštomaj delno in predvsem Petre sta bila še del plana za defenzivne centre ampak ju bom zaenkrat v začetku dokler treniram 1 na 1 obdržal. Koštomaja sicer morda tudi kasneje, namesto enega z nižjim potencialom.",image-c1a9e8a5390eeee4.png,1
1289172575188025396,2024-09-27T12:31:33.593+02:00,pjtr576,pjtr576 [Postojna Blue Jackets],2,"2. trening: oviranje meta za C, vsi 48 min, trener: 5. stopnja, mladinski trener: 6., fitnes: 3. stopnja, trening igrišče: /.",,0
1289172792792842292,2024-09-27T12:32:25.474+02:00,pjtr576,pjtr576 [Postojna Blue Jackets],,,image-bd7d0f8a84bf267b.png,1
1289172857447780362,2024-09-27T12:32:40.889+02:00,pjtr576,pjtr576 [Postojna Blue Jackets],,,image-afb3b363d2d6404b.png,1
