author,week_no,week_no_source,report_date,training_raw,training_name,position_group,training_key,minutes_note,coach_level,youth_trainer_level,fitness_level,training_court_level,n_player_cards,report_ts,message_id
alenokc,1,reported,2024-09-29,1 na 1 za krila,One on One,SF-PF,16,"vsi 48 min (razen Pokorn, brez trenininga)",7,7.0,3,3.0,5,2024-09-29T20:59:31.061+02:00,1290025182685040641
alenokc,2,reported,2024-10-06,1 na 1 za krila,One on One,SF-PF,16,vsi 48 min,7,7.0,3,3.0,5,2024-10-06T15:20:49.095+02:00,1292476661241086045
alenokc,3,reported,2024-10-12,1 na 1 za krila,One on One,SF-PF,16,vsi 48 min,7,7.0,3,3.0,5,2024-10-12T14:48:05.264+02:00,1294642751530602529
alenokc,4,reported,2024-10-19,1 na 1 za krila,One on One,SF-PF,16,vsi 48 min,7,7.0,3,3.0,5,2024-10-19T11:21:22.014+02:00,1297127443588583437
alenokc,5,reported,2024-10-29,1 na 1 za krila,One on One,SF-PF,16,vsi 48 min,7,7.0,3,3.0,5,2024-10-29T21:27:28.929+01:00,1300918955636162620
alenokc,6,reported,2024-11-08,1 na 1 za krila,One on One,SF-PF,16,vsi 48 min,7,7.0,3,3.0,5,2024-11-08T08:31:35.879+01:00,1304347576648073277
alenokc,10,reported,2024-11-29,Skok za C/KC,Rebounding,PF-C,27,vsi 48 min,7,7.0,3,3.0,3,2024-11-29T19:29:17.876+01:00,1312123237437673482
alenokc,11,reported,2024-12-07,Blokade za C,Shot Blocking,C,29,vsi 48 min,7,7.0,3,3.0,3,2024-12-07T10:01:48.327+01:00,1314879526203035708
alenokc,12,reported,2024-12-15,Blokade za C,Shot Blocking,C,29,vsi 48 min,7,7.0,3,3.0,3,2024-12-15T20:04:43.465+01:00,1317930358653845516
alenokc,14,reported,2024-12-28,Skok za KC/C,Rebounding,PF-C,27,vsi 48 min,7,7.0,3,3.0,3,2024-12-28T11:07:35.079+01:00,1322506225258074193
alenokc,17,reported,2025-01-23,Met pod košem za C,Inside Scoring,C,21,vsi 48 min,7,7.0,3,3.0,3,2025-01-23T07:28:08.822+01:00,1331873086479274077
alenokc,18,reported,2025-01-29,Met pod košem za C,Inside Scoring,C,21,vsi 48 min,7,7.0,3,3.0,3,2025-01-29T19:04:20.556+01:00,1334222617023877150
alenokc,19,reported,2025-02-06,Met pod košem za C,Inside Scoring,C,21,vsi 48 min,7,7.0,3,3.0,3,2025-02-06T14:48:48.293+01:00,1337057411776643083
alenokc,21,reported,2025-02-15,Skok za C/KC,Rebounding,PF-C,27,vsi 48 min,7,7.0,3,3.0,3,2025-02-15T18:50:51.275+01:00,1340379816368537652
alenokc,25,inferred_from_cadence,2025-03-14,MPK za C,Inside Scoring,C,21,"2x 48 min, Koštomaj 26 min",7,7.0,3,3.0,3,2025-03-14T15:36:16.543+01:00,1350115321364611205
alenokc,27,reported,2025-03-28,Skok za C/KC,Rebounding,PF-C,27,3x 48 min,7,7.0,3,3.0,3,2025-03-28T11:34:23.07+01:00,1355127877565284372
alenokc,29,reported,2025-04-11,MPK za C,Inside Scoring,C,21,3x 48 min,7,7.0,3,3.0,3,2025-04-11T14:56:36.6+02:00,1360237099902566401
alenokc,30,reported,2025-04-18,MPK za C,Inside Scoring,C,21,3x 48 min,7,7.0,3,3.0,3,2025-04-18T12:37:55.01+02:00,1362738911683547277
alenokc,32,reported,2025-05-02,OPK za C,Inside Defense,C,24,3x 48 min,7,7.0,3,3.0,3,2025-05-02T13:25:13.101+02:00,1367824245618511942
alenokc,34,reported,2025-05-19,OPK za C,Inside Defense,C,24,3x 48 min,7,7.0,3,3.0,3,2025-05-19T22:12:49.086+02:00,1374117614158352576
alenokc,35,reported,2025-05-27,1 na 1 za krila,One on One,SF-PF,16,"2x 48 min, Gojc Jalovec 44 min",7,7.0,3,3.0,3,2025-05-27T12:44:44.626+02:00,1376873756495970314
alenokc,37,reported,2025-06-10,Podaje za OI,Passing,PG,18,3x 48 min,7,7.0,3,3.0,3,2025-06-10T17:52:51.745+02:00,1382024727211802837
alenokc,38,reported,2025-06-13,Podaje za OI,Passing,PG,18,3x 48 min,7,,3,3.0,3,2025-06-13T15:05:29.111+02:00,1383069768948649984
alenokc,39,reported,2025-06-21,Podaje za OI,Passing,PG,18,3x 48 min,7,,3,3.0,3,2025-06-21T11:32:00.555+02:00,1385915148895522888
alenokc,40,reported,2025-06-27,Podaje za OI,Passing,PG,18,3x 48 min,7,,3,3.0,3,2025-06-27T13:04:57.96+02:00,1388112869421351004
alenokc,41,reported,2025-07-07,1na1 za krila,One on One,SF-PF,16,3x 48 min,7,,3,3.0,3,2025-07-07T11:07:51.781+02:00,1391707278146539572
alenokc,42,reported,2025-07-12,1na1 za krila,One on One,SF-PF,16,3x 48 min,7,,3,3.0,3,2025-07-12T11:01:23.648+02:00,1393517589526872104
alenokc,44,reported,2025-07-29,OPK za C,Inside Defense,C,24,3x 48 min,7,,3,3.0,3,2025-07-29T09:43:41.011+02:00,1399658626725052466
alenokc,46,reported,2025-08-08,OPK za C,Inside Defense,C,24,3x 48 min,7,,3,3.0,3,2025-08-08T13:38:48.053+02:00,1403341674603876435
pjtr576,1,reported,2024-09-20,1 na 1 za K/KC,One on One,SF-PF,16,oba 48 min,5,,3,,3,2024-09-20T12:52:23.469+02:00,1286641102488600586
pjtr576,2,reported,2024-09-27,oviranje meta za C,Shot Blocking,C,29,vsi 48 min,5,6.0,3,,3,2024-09-27T12:31:33.593+02:00,1289172575188025396
pjtr576,3,reported,2024-10-04,oviranje meta za C,Shot Blocking,C,29,vsi 48 min,5,6.0,3,,3,2024-10-04T12:28:18.276+02:00,1291708471028350997
pjtr576,4,reported,2024-10-11,oviranje meta za C,Shot Blocking,C,29,vsi 48 min,5,6.0,3,,3,2024-10-11T15:39:16.376+02:00,1294293244842086512
pjtr576,5,reported,2024-10-18,oviranje meta za C,Shot Blocking,C,29,vsi 48 min,5,6.0,3,,3,2024-10-18T12:53:37.766+02:00,1296788274349867028
pjtr576,6,reported,2024-10-25,oviranje meta za C,Shot Blocking,C,29,vsi 48 min,5,6.0,3,,3,2024-10-25T13:05:24.022+02:00,1299327951661305919
pjtr576,7,reported,2024-11-01,oviranje meta za C,Shot Blocking,C,29,"Piršič in Ostrovršek 48 min, Plesavec 47 min",5,6.0,3,,3,2024-11-01T19:35:20.891+01:00,1301977899796004926
pjtr576,8,reported,2024-11-08,skok za C/KC,Rebounding,PF-C,27,vsi 48 min,5,6.0,3,,3,2024-11-08T13:01:35.35+01:00,1304415522154086401
pjtr576,9,reported,2024-11-15,skok za C/KC,Rebounding,PF-C,27,vsi 48 min,5,6.0,3,,3,2024-11-15T13:13:26.873+01:00,1306955221557182565
pjtr576,10,reported,2024-11-22,Oviranje meta za C,Shot Blocking,C,29,vsi 48 min,5,6.0,3,,3,2024-11-22T13:03:25.214+01:00,1309489413075501067
pjtr576,11,reported,2024-11-29,Oviranje meta za C,Shot Blocking,C,29,vsi 48 min,5,6.0,3,,3,2024-11-29T13:07:54.321+01:00,1312027256851398757
pjtr576,12,reported,2024-12-06,Oviranje meta za C,Shot Blocking,C,29,"Plesavec 47 min, druga dva 48 min",5,6.0,3,,3,2024-12-06T12:27:36.013+01:00,1314553828791685290
pjtr576,13,reported,2024-12-13,Skok za C/KC,Rebounding,PF-C,27,vsi 48 min,5,6.0,3,,3,2024-12-13T12:24:42.583+01:00,1317089816432873472
