age,multiplier,career_share
18,1,0.14044943820224717
19,0.95,0.13342696629213482
20,0.88,0.12359550561797751
21,0.78,0.1095505617977528
22,0.7,0.09831460674157302
23,0.6000000000000001,0.08426966292134831
24,0.51,0.07162921348314606
25,0.42,0.05898876404494381
26,0.35,0.04915730337078651
27,0.27,0.03792134831460674
28,0.21,0.029494382022471906
29,0.16,0.022471910112359546
30,0.11,0.015449438202247189
31,0.07,0.009831460674157303
32,0.05,0.007022471910112359
33,0.03,0.004213483146067415
34,0.02,0.0028089887640449433
35,0.01,0.0014044943820224717
36,0,0
