type_index,type_name,primary_skill,positions_trained,JS,JR,OD,HA,DR,PA,IS,ID,RB,SB,total_points
1,JS for 12,JS,"12",0.5,0.1,0,0.05,0.05,0,0,0,0,0,0.7
2,JS for 34,JS,"34",0.4,0.05,0,0,0,0,0.2,0,0,0,0.65
3,JS for 23,JS,"23",0.5,0.1,0,0.05,0.05,0,0,0,0,0,0.7
4,JS for team,JS,"team",0.22,0.044000000000000004,0,0.022000000000000002,0.022000000000000002,0,0,0,0,0,0.308
5,JR for 2,JR,"2",0.2,0.4,0,0.05,0.05,0,0,0,0,0,0.7
6,JR for 12,JR,"12",0.15000000000000002,0.30000000000000004,0,0.037500000000000006,0.037500000000000006,0,0,0,0,0,0.525
7,JR for 23,JR,"23",0.15000000000000002,0.30000000000000004,0,0.037500000000000006,0.037500000000000006,0,0,0,0,0,0.525
8,JR for team,JR,"team",0.05,0.1,0,0.0125,0.0125,0,0,0,0,0,0.175
9,OD for 1,OD,"1",0,0,0.5,0.05,0.05,0,0,0.1,0,0,0.7
10,OD for 12,OD,"12",0,0,0.375,0.037500000000000006,0.037500000000000006,0,0,0.07500000000000001,0,0,0.525
11,OD for 123,OD,"123",0,0,0.2,0.020000000000000004,0.020000000000000004,0,0,0.04000000000000001,0,0,0.28
12,HA for 1,HA,"1",0,0,0.1,0.5,0.4,0,0,0,0,0,1
13,HA for 12,HA,"12",0,0,0.07500000000000001,0.375,0.30000000000000004,0,0,0,0,0,0.75
14,HA for 123,HA,"123",0,0,0.04000000000000001,0.2,0.16000000000000003,0,0,0,0,0,0.4
15,DR for 12,DR,"12",0.4,0,0,0.4,0.5,0,0,0,0,0,1.3
16,DR for 34,DR,"34",0.2,0,0,0.4,0.5,0,0.2,0,0,0,1.3
17,DR for team,DR,"team",0.08800000000000001,0,0,0.17600000000000002,0.22,0,0.08800000000000001,0,0,0,0.5720000000000001
18,PA for 1,PA,"1",0,0,0,0.16,0.16,0.6000000000000001,0,0,0,0,0.9200000000000002
19,PA for 12,PA,"12",0,0,0,0.12,0.12,0.45000000000000007,0,0,0,0,0.6900000000000001
20,PA for team,PA,"team",0,0,0,0.04,0.04,0.15000000000000002,0,0,0,0,0.23000000000000004
21,IS for 5,IS,"5",0.1,0,0,0,0,0,0.5,0.05,0,0,0.65
22,IS for 45,IS,"45",0.07500000000000001,0,0,0,0,0,0.375,0.037500000000000006,0,0,0.4875
23,IS for 345,IS,"345",0.04000000000000001,0,0,0,0,0,0.2,0.020000000000000004,0,0,0.26
24,ID for 5,ID,"5",0,0,0,0,0,0,0.05,0.5,0,0.1,0.65
25,ID for 45,ID,"45",0,0,0,0,0,0,0.037500000000000006,0.375,0,0.07500000000000001,0.48750000000000004
26,ID for 345,ID,"345",0,0,0,0,0,0,0.020000000000000004,0.2,0,0.04000000000000001,0.26
27,RB for 45,RB,"45",0,0,0,0,0,0,0.05,0.05,0.5,0,0.6000000000000001
28,RB for team,RB,"team",0,0,0,0,0,0,0.022000000000000002,0.022000000000000002,0.22,0,0.264
29,SB for 5,SB,"5",0,0,0,0,0,0,0,0.2,0.1,0.5,0.8
30,SB for 45,SB,"45",0,0,0,0,0,0,0,0.15000000000000002,0.07500000000000001,0.375,0.6000000000000001
31,SB for 345,SB,"345",0,0,0,0,0,0,0,0.08000000000000002,0.04000000000000001,0.2,0.32000000000000006
32,ST,,"",0,0,0,0,0,0,0,0,0,0,0.6666666666666666
33,FT,,"",0,0,0,0,0,0,0,0,0,0,0.5
