"„all the latest parameter estimates for Buzzerbeater in one big sheet, scroll at will“",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Salary Inflator,,,,,,,coeff1normal,,,0.9557920,,,,,,,,,,,,,Level,,,,Enthusiasm,,,Home Court,,,,,DMI,,,,,,,GS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,coeff2normal,,,0.0290190,,,,,,,,,,,,,1,atrocious,,,,6.4%,,16.3%,16.3%,,1,,constant_term,,,,0.1,,,constant_term,,,,8.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,coeff1monster,,,1.1831070,,,,,,,,,,,,,2,pitiful,,,,5.1%,,12.9%,,,2,,multiplier_exponential_GS,,,,0.76,,,multiplier_signomial_GSold,,,,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,coeff2monster,,,0.0469170,,,,,,,,,,,,,3,awful,,,,4.3%,,10.9%,,,3,,decay_exponential_GS,,,,1.13567746,,,exponent_signomial_GSold,,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Potential,,,,,,,,,,,,Salary,,,,,,,,,,,,,,,,,,,,,,,4,inept,,,,3.7%,,9.5%,,,4,,multiplier_signomial_GS,,,,0.01578066,,,multiplier_signomial_minutes,,,,0.00036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,JS,JR,OD,HA,DR,PA,IS,"ID",RB,SB,,,JS,JR,OD,HA,DR,PA,IS,"ID",RB,SB,const,,,,,,,,,,,,5,mediocre,,,,3.3%,,8.4%,,,5,,exponent_signomial_GS,,,,0.9,,,exponent_signomial_minutes,,,,2.145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,PG,18%,28%,30%,23%,11%,50%,5%,5%,20%,3%,,PG,3%,4%,8%,8%,4%,16%,,,4%,,300,,Priority Tactics,,,,,,,,,,6,average,,,,3.0%,,7.6%,,,6,,multiplier_ST,,,,0.035,,,random_relative,,,,10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,SG,45%,41%,40%,6%,6%,7%,6%,10%,25%,3%,,SG,13%,13%,14%,,,,,,7%,,300,,,,,,Pri,nPri,,stamina2,,,7,respectable,,,,2.8%,,7.0%,,,7,,multiplier_FT,,,,0.018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,SF,60%,23%,30%,5%,5%,3%,10%,20%,35%,3%,,SF,17%,10%,6%,,,,,7%,10%,,300,,Base Offense,,,,13%,13%,,0.67,,,8,strong,,,,2.6%,,6.5%,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,PF,34%,6%,5%,5%,5%,3%,40%,40%,40%,16%,,PF,9%,,,,,,13%,12%,11%,5%,300,,Push the Ball,,,,13%,13%,,0.75,,,9,proficient,,,,2.4%,,6.0%,,,9,,,,,,,,,Enthusiasm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,C,8%,15%,0%,3%,3%,3%,46%,42%,45%,23%,,C,,,,,,,16%,13%,12%,6%,300,,Patient,,,,13%,13%,,0.67,,,10,prominent,,,,2.2%,,5.6%,,,10,,,,,,,,,multiplier_distFrom5,,,,0.9535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Look Inside,,,,13%,13%,,0.80,,,11,prolific,,,,2.1%,,5.3%,,,11,,,,,,,,,expdecaymultiplier_distFrom5,,,,0.0167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sum of team ratings,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low Post,,,,13%,13%,,0.78,,,12,sensational,,,,2.0%,,5.0%,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,JS,JR,OD,HA,DR,PA,IS,"ID",RB,SB,abs,rel,,Team Rating Modifiers,,,,,,,Enthusiasm,,,Home Court,,,,Motion,,,,13%,13%,,0.79,,,13,tremendous,,,,1.9%,,4.8%,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PG,.08,.13,.16,.14,.01,.28,.02,.01,.09,.01,.93,23%,,,,,,Game Shape,,,,0.09,,,0.235103311,,,Run and Gun,,,,13%,13%,,0.78,,,14,wondrous,,,,1.8%,,4.5%,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SG,.11,.11,.20,.07,.00,.17,.02,.01,.07,.02,.79,19%,,Outside Scoring,,,,,7.6%,,,,,,,,,Princeton,,,,13%,13%,,0.76,,,15,marvelous,,,,1.7%,,4.3%,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SF,.08,.05,.12,.07,.01,.14,.14,.10,.13,.02,.86,21%,,Inside Scoring,,,,,7.3%,,,,,,,,,Man to man,,,,20%,20%,,0.82,,,16,prodigious,,,,1.6%,,4.2%,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PF,.02,.03,.04,.06,.01,.04,.18,.16,.15,.01,.72,18%,,Perimeter Defense,,,,,5.5%,,,0.09,,,0.239733995,,,2-3 Zone,,,,20%,20%,,0.76,,,17,stupendous,,,,1.6%,,4.0%,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stamina,,5,mediocre,,,,energy1,,4,,,,,,,,,,,,,energy2,,0.86,,,,,energy1,,4,,,,,,,,,,,
,C,.00,.03,.01,.06,.01,.02,.26,.23,.18,.01,.83,20%,,Inside Defense,,,,,4.5%,,,0.09,,,0.240650954,,,3-2 Zone,,,,20%,20%,,0.73,,,18,phenomenal,,,,1.5%,,3.8%,,,18,,0,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
