player_id,season,team_ids,countable_matches,matches_with_minutes,starts,weeks_covered,min_pg,min_sg,min_sf,min_pf,min_c,total_min,avg_min_per_match,first_match_date,last_match_date
11422443,72,114360,1,1,0,1,3,4,0,6,0,13,13.00,2026-05-21,2026-05-21
23117426,72,114360,1,1,0,1,2,1,4,6,0,13,13.00,2026-05-21,2026-05-21
24360741,72,114360,1,1,0,1,4,0,9,0,0,13,13.00,2026-05-21,2026-05-21
32359653,70,114360,1,0,0,1,0,0,0,0,0,0,0.00,2026-01-08,2026-01-08
32359653,72,114360,6,4,0,6,0,0,25,4,13,42,7.00,2026-05-21,2026-07-23
48998989,69,276888,22,22,22,12,0,926,0,2,0,928,42.18,2025-07-10,2025-10-12
48998989,70,276888,3,3,3,2,0,132,0,0,0,132,44.00,2025-10-18,2025-10-25
49238059,69,114360,43,43,43,14,124,0,0,39,1494,1657,38.53,2025-07-11,2025-10-12
49238059,70,114360,38,38,38,12,18,5,8,59,1410,1500,39.47,2025-10-16,2025-12-30
49294179,69,114360,56,56,15,14,707,330,281,23,16,1357,24.23,2025-07-11,2025-10-12
49294179,70,114360,4,3,0,2,13,0,0,11,0,24,6.00,2025-10-16,2025-10-21
49320295,69,114360,44,44,37,14,48,4,41,1045,206,1344,30.55,2025-07-11,2025-10-12
49320295,70,114360,38,38,35,12,16,7,0,1320,57,1400,36.84,2025-10-16,2025-12-30
49341632,69,114360,46,46,44,14,103,1245,139,96,41,1624,35.30,2025-07-11,2025-10-12
49341632,70,114360,1,1,0,1,0,0,0,24,1,25,25.00,2025-10-16,2025-10-16
49365906,69,114360,45,45,44,14,1378,2,110,11,2,1503,33.40,2025-07-11,2025-10-12
49365906,70,114360,15,15,15,5,543,0,0,0,0,543,36.20,2025-10-16,2025-11-15
49533852,69,114360,28,28,5,9,133,418,190,14,3,758,27.07,2025-08-16,2025-10-12
49533852,70,114360,4,4,0,2,18,24,46,5,0,93,23.25,2025-10-16,2025-10-21
49600322,69,114360,47,47,10,14,1,80,217,953,268,1519,32.32,2025-07-11,2025-10-12
49600322,70,114360,15,15,4,5,0,39,0,274,104,417,27.80,2025-10-16,2025-11-15
49983596,69,114360,45,45,42,14,6,156,1220,1,100,1483,32.96,2025-07-11,2025-10-12
49983596,70,114360,47,47,46,14,4,0,1857,1,6,1868,39.74,2025-10-16,2026-01-17
49983596,71,114360,31,31,30,14,303,0,878,0,0,1181,38.10,2026-01-22,2026-04-25
49983596,72,114360,25,25,24,12,3,69,499,1,289,861,34.44,2026-05-02,2026-07-25
50891529,69,276888,28,28,28,14,0,1,1237,0,7,1245,44.46,2025-07-10,2025-10-12
50891529,70,276888,27,27,26,14,0,0,463,554,0,1017,37.67,2025-10-18,2026-01-18
50891529,71,276888,26,26,4,14,0,0,9,154,439,602,23.15,2026-01-24,2026-04-26
50891529,72,276888,32,32,31,14,0,0,847,139,86,1072,33.50,2026-05-02,2026-08-02
50891529,73,276888,1,1,1,1,0,0,0,37,0,37,37.00,2026-08-07,2026-08-07
51210546,69,276888,4,4,4,3,14,12,0,9,80,115,28.75,2025-07-12,2025-07-22
51210546,70,276888,19,19,19,12,679,0,0,0,0,679,35.74,2025-11-01,2026-01-18
51210546,71,276888,26,26,26,14,852,2,0,0,0,854,32.85,2026-01-24,2026-04-26
51210546,72,276888,33,33,33,14,1112,0,0,0,0,1112,33.70,2026-05-02,2026-08-02
51210546,73,276888,1,1,1,1,33,0,0,0,0,33,33.00,2026-08-07,2026-08-07
51241512,69,114360,24,22,9,14,24,257,197,0,35,513,21.38,2025-07-11,2025-10-09
51241512,70,114360,4,3,1,4,3,69,0,0,0,72,18.00,2025-10-30,2025-11-20
51390841,70,114360,36,36,36,12,174,1192,0,0,0,1366,37.94,2025-10-17,2025-12-30
51529704,71,114360,22,21,14,10,216,396,58,1,0,671,30.50,2026-02-17,2026-04-25
51529704,72,114360,6,6,5,2,1,0,171,0,0,172,28.67,2026-04-30,2026-05-12
51693460,72,114360,15,15,14,8,1,478,33,0,0,512,34.13,2026-06-13,2026-08-01
51693460,73,114360,1,1,1,1,0,0,38,0,0,38,38.00,2026-08-06,2026-08-06
51737263,71,114360,20,20,20,9,263,136,367,0,1,767,38.35,2026-02-26,2026-04-25
51777269,71,114360,19,19,19,9,0,0,0,0,752,752,39.58,2026-02-26,2026-04-25
52192511,73,114360,1,1,1,1,0,0,0,0,47,47,47.00,2026-08-06,2026-08-06
52192805,71,114360,20,20,20,9,0,0,0,772,15,787,39.35,2026-02-24,2026-04-25
52192805,72,114360,30,30,29,14,0,0,0,1074,91,1165,38.83,2026-04-30,2026-08-01
52192805,73,114360,1,1,1,1,0,0,0,35,0,35,35.00,2026-08-06,2026-08-06
52956465,69,114360,15,15,9,13,14,171,290,0,0,475,31.67,2025-07-17,2025-10-09
52956465,70,114360,12,12,8,8,16,0,222,218,0,456,38.00,2025-10-23,2026-01-17
52956465,71,114360,34,24,8,14,44,3,26,441,131,645,18.97,2026-01-22,2026-04-25
52956465,72,114360,8,5,1,3,14,1,84,7,1,107,13.38,2026-04-30,2026-05-16
53231080,72,114360,16,16,14,8,0,0,0,0,551,551,34.44,2026-06-13,2026-08-01
53231080,73,114360,1,1,0,1,0,0,0,13,1,14,14.00,2026-08-06,2026-08-06
53253305,69,276888,28,28,10,14,158,229,60,172,11,630,22.50,2025-07-10,2025-10-12
53253305,70,276888,5,5,0,2,22,12,24,0,0,58,11.60,2025-10-18,2025-10-28
53571950,69,114360,17,17,10,12,122,21,0,319,38,500,29.41,2025-07-17,2025-10-09
53571950,70,114360,5,5,1,5,0,2,21,22,47,92,18.40,2025-10-30,2026-01-08
53571950,71,114360,2,2,1,2,7,48,0,0,0,55,27.50,2026-02-12,2026-02-24
53571950,72,114360,32,32,15,13,17,1,597,196,35,846,26.44,2026-05-12,2026-08-01
53572533,69,114360,5,5,0,5,0,5,6,0,66,77,15.40,2025-07-17,2025-09-11
53572533,71,114360,2,2,1,2,0,0,20,12,0,32,16.00,2026-02-12,2026-02-24
53572533,72,114360,11,11,11,9,0,184,0,37,215,436,39.64,2026-05-14,2026-07-23
53594469,69,276888,24,24,20,13,934,4,41,2,53,1034,43.08,2025-07-10,2025-10-12
53594469,70,276888,3,3,3,2,122,0,0,0,0,122,40.67,2025-10-18,2025-10-25
53919658,69,276888,2,2,2,2,0,95,0,0,0,95,47.50,2025-08-23,2025-09-16
53919658,70,276888,24,23,5,13,0,240,2,320,0,562,23.42,2025-10-23,2026-01-18
53919658,71,276888,26,26,0,14,0,0,416,41,0,457,17.58,2026-01-24,2026-04-26
53919658,72,276888,33,33,1,14,66,0,445,0,2,513,15.55,2026-05-02,2026-08-02
53919658,73,276888,1,1,0,1,0,0,16,0,0,16,16.00,2026-08-07,2026-08-07
54208611,69,114360,1,1,0,1,0,0,0,0,11,11,11.00,2025-08-28,2025-08-28
54208611,70,114360,11,7,7,7,52,0,49,218,2,321,29.18,2025-10-23,2026-01-17
54208611,71,114360,36,17,6,14,84,2,108,167,7,368,10.22,2026-01-22,2026-04-25
54208611,72,114360,16,14,5,11,0,145,15,82,33,275,17.19,2026-04-30,2026-07-23
54209203,69,114360,30,27,12,14,49,16,12,199,419,695,23.17,2025-07-11,2025-10-09
54209203,70,114360,48,48,15,13,15,96,324,204,751,1390,28.96,2025-10-23,2026-01-17
54209203,71,114360,37,37,17,14,20,0,242,398,415,1075,29.05,2026-01-22,2026-04-25
54209203,72,114360,39,39,21,14,87,126,314,422,182,1131,29.00,2026-04-30,2026-08-01
54209203,73,114360,1,1,0,1,0,0,10,0,0,10,10.00,2026-08-06,2026-08-06
54231090,69,276888,3,3,3,3,0,0,0,144,0,144,48.00,2025-07-17,2025-08-01
54231090,70,276888,19,19,19,12,0,0,807,0,0,807,42.47,2025-11-01,2026-01-18
54231090,71,276888,26,26,26,14,0,0,828,0,0,828,31.85,2026-01-24,2026-04-26
54231090,72,276888,6,6,6,6,0,186,25,38,0,249,41.50,2026-05-02,2026-07-17
54516150,69,276888,17,17,16,13,118,0,0,48,601,767,45.12,2025-07-10,2025-10-12
54516150,70,276888,18,18,18,14,0,0,0,38,816,854,47.44,2025-10-18,2026-01-18
54516150,71,276888,25,25,25,13,0,5,0,0,810,815,32.60,2026-01-24,2026-04-18
