training,positions,JS,JR,OD,HA,DR,PA,IS,ID,RB,SB,total_listed
Pressure,PG,0,0,430,60,40,0,0,80,0,0,610
Pressure,SG,0,0,387,54,36,0,0,72,0,0,549
Pressure,SF,0,0,344,48,32,0,0,64,0,0,488
Pressure,PF,0,0,301,42,28,0,0,56,0,0,427
Pressure,C,0,0,258,36,24,0,0,48,0,0,366
Pressure,PG/SG,0,0,310,40,0,0,0,50,0,0,400
Pressure,SG/SF,0,0,279,36,0,0,0,45,0,0,360
Pressure,SF/PF,0,0,248,32,0,0,0,40,0,0,320
Pressure,PF/C,0,0,217,28,0,0,0,35,0,0,280
Pressure,PG/SG/SF,0,0,120,0,0,0,0,20,0,0,140
Pressure,SG/SF/PF,0,0,108,0,0,0,0,18,0,0,126
Pressure,SF/PF/C,0,0,96,0,0,0,0,16,0,0,112
Shot Blocking,C,30,0,0,0,0,0,0,190,80,680,980
Shot Blocking,PF,27,0,0,0,0,0,0,171,72,612,882
Shot Blocking,SF,24,0,0,0,0,0,0,152,64,544,784
Shot Blocking,SG,21,0,0,0,0,0,0,133,56,476,686
Shot Blocking,PG,18,0,0,0,0,0,0,114,48,408,588
Shot Blocking,C/PF,0,0,0,0,0,0,0,100,60,420,580
Shot Blocking,PF/SF,0,0,0,0,0,0,0,90,54,378,522
Shot Blocking,SF/SG,0,0,0,0,0,0,0,80,48,336,464
Shot Blocking,SG/PG,0,0,0,0,0,0,0,70,42,294,406
Shot Blocking,C/PF/SF,0,0,0,0,0,0,0,0,0,290,290
Shot Blocking,PF/SF/SG,0,0,0,0,0,0,0,0,0,261,261
Shot Blocking,SF/SG/PG,0,0,0,0,0,0,0,0,0,232,232
Inside Defense,C,0,0,0,0,0,0,50,550,0,140,740
Inside Defense,PF,0,0,0,0,0,0,45,495,0,126,666
Inside Defense,SF,0,0,0,0,0,0,40,440,0,112,592
Inside Defense,SG,0,0,0,0,0,0,35,385,0,98,518
Inside Defense,PG,0,0,0,0,0,0,30,330,0,84,444
Inside Defense,C/PF,0,0,0,0,0,0,50,400,0,110,560
Inside Defense,PF/SF,0,0,0,0,0,0,45,360,0,99,504
Inside Defense,SF/SG,0,0,0,0,0,0,40,320,0,88,448
Inside Defense,SG/PG,0,0,0,0,0,0,35,280,0,77,392
Inside Defense,C/PF/SF,0,0,0,0,0,0,50,280,0,60,390
Inside Defense,PF/SF/SG,0,0,0,0,0,0,45,252,0,54,351
Inside Defense,SF/SG/PG,0,0,0,0,0,0,40,224,0,48,312
Rebounding,C/PF,0,0,0,0,0,0,0,50,560,0,610
Rebounding,PF/SF,0,0,0,0,0,0,0,45,504,0,549
Rebounding,SF/SG,0,0,0,0,0,0,0,40,448,0,488
Rebounding,SG/PG,0,0,0,0,0,0,0,35,392,0,427
Rebounding,Team,0,0,0,0,0,0,0,40,260,0,300
Inside Scoring,C,130,0,0,0,0,0,560,50,0,0,740
Inside Scoring,PF,117,0,0,0,0,0,504,45,0,0,666
Inside Scoring,SF,104,0,0,0,0,0,448,40,0,0,592
Inside Scoring,SG,91,0,0,0,0,0,392,35,0,0,518
Inside Scoring,PG,78,0,0,0,0,0,336,30,0,0,444
Inside Scoring,C/PF,100,0,0,0,0,0,410,0,0,0,510
Inside Scoring,PF/SF,90,0,0,0,0,0,369,0,0,0,459
Inside Scoring,SF/SG,80,0,0,0,0,0,328,0,0,0,408
Inside Scoring,SG/PG,70,0,0,0,0,0,287,0,0,0,357
Inside Scoring,C/PF/SF,120,0,0,0,0,0,330,40,0,0,490
Inside Scoring,PF/SF/SG,108,0,0,0,0,0,297,36,0,0,441
Inside Scoring,SF/SG/PG,96,0,0,0,0,0,264,32,0,0,392
One on One,PG/SG,390,0,0,430,510,0,0,0,0,0,1330
One on One,SG/SF,351,0,0,387,459,0,0,0,0,0,1197
One on One,SF/PF,210,0,0,410,560,0,180,0,0,0,1360
One on One,PF/C,189,0,0,369,504,0,162,0,0,0,1224
One on One,Team,50,0,0,270,400,0,0,0,0,0,720
Outside Shooting,SG,150,450,0,20,60,0,0,0,0,0,680
Outside Shooting,PG,135,405,0,18,54,0,0,0,0,0,612
Outside Shooting,SF,122,365,0,16,49,0,0,0,0,0,551
